,n_days,mean_daily,vol_daily,mean_annual,vol_annual,sharpe,cagr
Green,2723,0.0012856609471786312,0.02515082829950266,0.32398655868901505,0.3992570216866174,0.8114736650600894,0.27686495043637227
Brown,2723,0.00036205130181836116,0.01863782636335343,0.09123692805822702,0.2958663212174192,0.30837213131528074,0.048404461808514876
